GeneID	AS_1ngS1_3	AS_1ngS1_4	AS_1ngS1_8	AS_1ngS1_7	AS_1ngS1_6	AS_1ngS1_2	AS_1ngS1_5	AS_1ngS1_1	AS_1ngS2_3	AS_1ngS2_1	AS_1ngS2_4	AS_1ngS2_2	AS_1ngS2_5	AS_1ngS2_7	AS_1ngS2_8	AS_1ngS2_6
ENSG00000004455.16	38	28	23	14	45	21	23	22	22	20	23	21	15	20	14	23
ENSG00000134686.16	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
ENSG00000189280.3	2	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1
ENSG00000163866.8	3	2	4	7	5	6	5	3	5	3	4	1	2	1	1	7
ENSG00000271741.1	1	0	0	0	1	0	1	2	2	1	1	0	0	0	0	0
ENSG00000197056.9	1	2	1	3	2	2	1	1	0	3	2	2	4	3	4	2
ENSG00000116560.10	8	2	7	3	5	5	1	2	4	1	1	6	2	3	0	4
ENSG00000229994.1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000146463.11	0	2	2	3	1	3	2	1	2	0	4	4	4	4	2	4
ENSG00000142687.17	0	2	0	0	1	1	1	0	1	0	0	2	0	0	1	0
ENSG00000020129.15	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0
ENSG00000126067.11	30	15	21	13	36	22	16	22	16	16	16	16	13	12	20	13
ENSG00000092853.13	2	2	4	4	6	9	7	4	2	11	4	8	3	5	3	1
ENSG00000054116.11	7	14	7	4	8	4	11	10	9	5	9	14	7	5	10	7
ENSG00000054118.13	4	7	4	5	11	5	8	1	4	5	3	8	7	8	3	3
ENSG00000142694.6	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1
ENSG00000181817.5	10	3	2	4	8	6	1	11	7	6	7	7	3	3	5	16
ENSG00000116898.11	18	9	16	15	16	13	17	11	13	4	15	15	7	16	12	17
ENSG00000233621.1	2	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0
ENSG00000163875.15	2	6	3	1	5	5	5	4	5	2	3	2	1	2	3	3
ENSG00000134697.12	3	2	4	1	6	2	4	3	5	1	1	1	2	3	2	2
ENSG00000196449.3	3	1	1	1	2	3	1	2	2	3	2	5	0	0	4	3
ENSG00000197982.13	15	12	13	12	18	12	5	12	17	20	11	21	13	12	15	12
ENSG00000188786.9	1	0	0	2	1	0	2	0	0	1	0	0	0	0	0	0
ENSG00000204084.12	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ENSG00000183431.11	5	5	5	5	11	3	6	2	4	4	4	8	5	2	3	2
ENSG00000183386.9	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
ENSG00000183520.11	9	10	4	5	5	7	6	6	6	3	4	10	1	6	7	3
ENSG00000214114.8	12	9	7	13	13	12	3	7	8	12	13	7	4	14	5	6
ENSG00000174574.15	0	3	3	1	1	1	3	1	1	0	2	1	2	1	0	2
ENSG00000168653.10	99	99	84	85	120	105	72	80	79	75	79	72	57	79	63	94
ENSG00000127603.23	1	0	0	0	0	1	0	0	0	1	1	8	3	1	1	2
