Variable	GG_1ngS1_1	GG_1ngS1_2	GG_1ngS1_3	GG_1ngS1_4	GG_1ngS1_5	GG_1ngS1_6	GG_1ngS1_7	GG_1ngS1_8	GG_1ngS2_1	GG_1ngS2_2	GG_1ngS2_3	GG_1ngS2_4	GG_1ngS2_5	GG_1ngS2_6	GG_1ngS2_7	GG_1ngS2_8
ENSG00000264881.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000264501.2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
ENSG00000142657.20	2	1	2	1	1	1	1	3	2	1	0	2	1	2	2	0
ENSG00000175279.21	6	4	5	3	7	7	4	15	3	8	11	3	7	9	1	3
ENSG00000241563.3	2	1	0	3	0	3	0	0	0	1	0	0	0	0	0	0
ENSG00000142655.12	1	3	1	1	3	0	0	3	1	0	1	2	2	1	0	0
ENSG00000160049.11	2	1	4	2	2	2	5	1	3	7	4	1	5	1	0	1
ENSG00000130940.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000277726.4	4	2	3	5	5	6	1	1	5	8	2	1	1	2	4	0
ENSG00000116649.9	5	8	7	7	7	10	2	4	7	12	8	10	7	8	4	8
ENSG00000230337.1	2	0	1	0	2	0	1	0	1	0	2	0	1	2	4	0
ENSG00000171824.13	1	0	4	0	0	1	1	2	2	0	4	0	1	2	0	2
ENSG00000198793.12	1	0	1	0	0	0	1	4	0	1	1	0	1	0	0	1
ENSG00000120942.13	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1
ENSG00000235643.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132879.13	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000116661.9	2	3	2	1	0	3	4	1	1	3	0	1	2	1	0	3
ENSG00000116663.10	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1
ENSG00000116670.14	11	8	9	13	11	17	8	8	4	8	6	7	11	9	4	6
ENSG00000162490.6	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000177674.15	11	16	14	16	7	16	6	8	14	9	8	12	7	11	12	8
ENSG00000215910.7	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0
ENSG00000011021.21	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000177000.10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000199347.1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000116685.15	0	0	0	0	1	1	1	0	5	1	1	0	0	0	0	1
ENSG00000083444.16	0	0	1	0	0	0	1	0	0	2	1	1	0	0	1	0
ENSG00000116688.16	1	0	0	0	0	2	1	2	0	1	1	0	0	1	0	0
ENSG00000116691.10	1	3	0	0	2	3	0	1	0	1	1	2	0	1	0	1
ENSG00000120949.14	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000048707.13	2	2	2	2	1	1	1	1	0	1	0	2	0	0	0	1
ENSG00000162496.8	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
ENSG00000116731.22	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000189337.15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000171729.13	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0
ENSG00000142621.19	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000142634.12	4	5	4	5	2	6	5	2	5	7	10	7	3	7	4	4
ENSG00000215704.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000132906.17	1	4	3	2	1	2	7	0	3	3	2	1	1	2	3	5
ENSG00000116138.12	0	1	0	1	0	0	0	0	0	0	0	2	1	0	2	1
ENSG00000116771.5	1	0	0	1	2	1	2	1	1	2	0	0	0	2	0	0
ENSG00000197312.11	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000116786.11	0	1	1	0	0	3	1	1	0	0	0	2	0	0	0	2
ENSG00000224459.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000162458.12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000233954.6	2	2	3	1	2	2	3	2	2	3	3	7	3	2	1	1
ENSG00000065526.10	2	0	0	0	1	1	0	1	0	3	0	1	0	1	1	0
ENSG00000179743.4	2	0	0	0	2	1	0	1	0	2	0	0	0	1	0	0
ENSG00000116809.11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000173641.17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000185519.8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000142627.12	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
ENSG00000142632.16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000233929.1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000037637.10	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
ENSG00000055070.16	4	7	4	10	5	10	7	6	3	10	5	6	6	7	7	4
ENSG00000187144.11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157191.19	3	0	0	0	3	2	1	0	3	2	0	1	2	3	0	1
ENSG00000219481.10	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ENSG00000215908.7	0	1	3	2	1	0	0	0	1	1	0	1	0	2	0	1
ENSG00000236698.1	0	2	1	0	1	3	2	0	1	3	2	2	2	0	1	0
ENSG00000280114.1	2	2	3	3	2	0	2	3	4	8	0	5	1	2	3	1
ENSG00000058453.16	0	1	0	1	2	0	2	0	1	0	0	0	0	1	0	0
